SIZE	TIPO 1	TIPO 1 - Description	TIPO 2	TIPO 2 - Description	Condicion	Condition - Description	CODE SF	ID	Categoria	Imagenes	Ancho	Alto	Largo	Peso	Tara	container_description
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	CW	Carga | Cargo Worthy	40HC PW CW	94	size > 40PIES; Condition > CW; general > Dry > HC PW		2.43	2.89	12.19			Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	ASIS	Almacenaje / Modificacion | Storage	40HC PW ASIS	95	size > 40PIES; Condition > ASIS; general > Dry > HC PW		2.43	2.89	12.19			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Tambien puedes modificarlo y hacer una casa, oficina o cualquier proyecto modular que te haga ilucion, ayudando al medio ambiente y a ser mas ecofriendly. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, por su relacion, calidad - precio, es lo que que recomendamos para nuestros clientes.
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	NEW	Nuevo | NEW	40HC PW NEW	96	size > 40PIES; Condition > NEW; general > Dry > HC PW		2.43	2.89	12.19			Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	1st Voyage	1er viaje | 1st voyage	40HC PW 1st Voyage	97	size > 40PIES; Condition > 1st Voyage; general > Dry > HC PW		2.43	2.89	12.19			Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	IICL	IICL	40HC PW IICL	98	size > 40PIES; Condition > IICL; general > Dry > HC PW		2.43	2.89	12.19			Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. La condicion IICL tiene como diferencia un certificado, suelen ser del 2010 al 2012
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	SCRAP	Chatarra |Recycle	40HC PW SCRAP	99	size > 40PIES; Condition > SCRAP; general > Dry > HC PW		2.43	2.89	12.19			contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
40	Reefer	Refrigerado | Reefer	RF	Reefer Standard	CW	Carga | Cargo Worthy	40RF CW	100	size > 40PIES; Condition > CW; general > Reefer > RF		2.43	2.59	12.19			Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Reefer	Refrigerado | Reefer	RF	Reefer Standard	ASIS	Almacenaje / Modificacion | Storage	40RF ASIS	101	size > 40PIES; Condition > ASIS; general > Reefer > RF		2.43	2.59	12.19			Contenedores utilizados para almacenar mercaderia donde por diferente motivos, su temperatura debe ser menor a la normal y los contenedores que denominamos"secos" no cuentan con el aislamiento que permita esto. Los contenedores contenedores no tienen el motor funcionando pero si tiene la estructura en optimas condiciones. 
40	Reefer	Refrigerado | Reefer	RF	Reefer Standard	NEW	Nuevo | NEW	40RF NEW	102	size > 40PIES; Condition > NEW; general > Reefer > RF		2.43	2.59	12.19			Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Reefer	Refrigerado | Reefer	RF	Reefer Standard	1st Voyage	1er viaje | 1st voyage	40RF 1st Voyage	103	size > 40PIES; Condition > 1st Voyage; general > Reefer > RF		2.43	2.89	12.19			Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Reefer	Refrigerado | Reefer	RH	Reefer High Cube	CW	Carga | Cargo Worthy	40RH CW	104	size > 40PIES; Condition > CW; general > Reefer > RH		2.43	2.89	12.19			Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Reefer	Refrigerado | Reefer	RH	Reefer High Cube	ASIS	Almacenaje / Modificacion | Storage	40RH ASIS	105	size > 40PIES; Condition > ASIS; general > Reefer > RH		2.43	2.89	12.19			Contenedores utilizados para almacenar mercaderia donde por diferente motivos, su temperatura debe ser menor a la normal y los contenedores que denominamos"secos" no cuentan con el aislamiento que permita esto. Los contenedores contenedores no tienen el motor funcionando pero si tiene la estructura en optimas condiciones. 
40	Reefer	Refrigerado | Reefer	RH	Reefer High Cube	NEW	Nuevo | NEW	40RH NEW	106	size > 40PIES; Condition > NEW; general > Reefer > RH		2.43	2.89	12.19			Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Reefer	Refrigerado | Reefer	RH	Reefer High Cube	1st Voyage	1er viaje | 1st voyage	40RH 1st Voyage	107	size > 40PIES; Condition > 1st Voyage; general > Reefer > RH		2.43	2.89	12.19			Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Special	Special | Especiales	FR	Flat Rack	CW	Carga | Cargo Worthy	40FR CW	108	size > 40PIES; Condition > CW; general > Special > FR		2.43	2.59	12.19			Contenedores utilziados para carga dimensionada, donde el alto supera el permitido para los contenedores normales.
40	Special	Special | Especiales	FR	Flat Rack	ASIS	Almacenaje / Modificacion | Storage	40FR ASIS	109	size > 40PIES; Condition > ASIS; general > Special > FR		2.43	2.59	12.19			Contenedores que pueden usarse para poner mercarderia sobre dimensionada, te recomendamos por la condicion que estan, un contenedor 40 Open Top dentro de nuestra seccion de especiales.Te aportara lo mismo y aun mas proteccion en los laterales.
40	Special	Special | Especiales	FR	Flat Rack	NEW	Nuevo | NEW	40FR NEW	110	size > 40PIES; Condition > NEW; general > Special > FR		2.43	2.59	12.19			Contenedores utilziados para carga dimensionada, donde el alto supera el permitido para los contenedores normales.
